Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S011,Adeje,28.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S012,Adeje,5.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S012,Adeje,13.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S013,Adeje,2.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S013,Adeje,4.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S014,Adeje,1.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S014,Adeje,6.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S015,Adeje,3.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S015,Adeje,6.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S016,Adeje,6.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S016,Adeje,6.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S017,Adeje,5.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S017,Adeje,11.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S018,Adeje,3.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S018,Adeje,8.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38002,38,20210101_38002_D01_S001,Agulo,2.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38002,38,20210101_38002_D01_S001,Agulo,16.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38002,38,20220101_38002_D01_S001,Agulo,1.0,2022,Santa Cruz de Tenerife,Mujeres
