año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S002,3,2, Icod de los Vinos,28720.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S003,3,3, Icod de los Vinos,24551.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S004,3,4, Icod de los Vinos,26048.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S001,4,1, Icod de los Vinos,28831.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S002,4,2, Icod de los Vinos,28797.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S003,4,3, Icod de los Vinos,27357.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D04_S004,4,4, Icod de los Vinos,30120.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D05_S001,5,1, Icod de los Vinos,21550.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D05_S002,5,2, Icod de los Vinos,29590.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S001,1,1, San Cristóbal de La Laguna,57548.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S002,1,2, San Cristóbal de La Laguna,31041.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S003,1,3, San Cristóbal de La Laguna,41026.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S004,1,4, San Cristóbal de La Laguna,28010.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S005,1,5, San Cristóbal de La Laguna,48915.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S006,1,6, San Cristóbal de La Laguna,44997.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S007,1,7, San Cristóbal de La Laguna,39577.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S008,1,8, San Cristóbal de La Laguna,39956.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S009,1,9, San Cristóbal de La Laguna,48187.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S010,1,10, San Cristóbal de La Laguna,51421.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S011,1,11, San Cristóbal de La Laguna,37659.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S012,1,12, San Cristóbal de La Laguna,26871.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S013,1,13, San Cristóbal de La Laguna,57056.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S014,1,14, San Cristóbal de La Laguna,64720.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S015,1,15, San Cristóbal de La Laguna,88313.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S016,1,16, San Cristóbal de La Laguna,57566.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S017,1,17, San Cristóbal de La Laguna,46962.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S018,1,18, San Cristóbal de La Laguna,30307.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S019,1,19, San Cristóbal de La Laguna,46148.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S020,1,20, San Cristóbal de La Laguna,42689.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S021,1,21, San Cristóbal de La Laguna,43256.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S022,1,22, San Cristóbal de La Laguna,36352.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38023_D01_S023,1,23, San Cristóbal de La Laguna,37763.0
