Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total,Municipio_clean,ISLA_clean
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Valleseco,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Vega De San Mateo,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Vega De San Mateo,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Agulo,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Agulo,La Gomera
Mujeres,Española,Educación primaria e inferior,2022,0,Alajeró,La Gomera
Mujeres,Española,Educación primaria e inferior,2021,0,Alajeró,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Alajeró,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Alajeró,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Arafo,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Arafo,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,Barlovento,La Palma
Mujeres,Española,Educación primaria e inferior,2021,0,Barlovento,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Barlovento,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Barlovento,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Breña Alta,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Buenavista Del Norte,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Buenavista Del Norte,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,Fasnia,Tenerife
Mujeres,Española,Educación primaria e inferior,2021,0,Fasnia,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Fasnia,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Fasnia,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,Frontera,El Hierro
Mujeres,Española,Educación primaria e inferior,2021,0,Frontera,El Hierro
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Frontera,El Hierro
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Frontera,El Hierro
Mujeres,Española,Educación primaria e inferior,2022,0,Fuencaliente De La Palma,La Palma
Mujeres,Española,Educación primaria e inferior,2021,0,Fuencaliente De La Palma,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Fuencaliente De La Palma,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Garachico,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Garachico,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,Garafía,La Palma
Mujeres,Española,Educación primaria e inferior,2021,0,Garafía,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Garafía,La Palma
Mujeres,Española,Educación primaria e inferior,2022,0,La Guancha,Tenerife
Mujeres,Española,Educación primaria e inferior,2021,0,La Guancha,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,La Guancha,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2021,0,La Guancha,Tenerife
Mujeres,Española,Educación primaria e inferior,2022,0,Hermigua,La Gomera
Mujeres,Española,Educación primaria e inferior,2021,0,Hermigua,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Hermigua,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Hermigua,La Gomera
Mujeres,Extranjera,Educación primaria e inferior,2021,0,La Orotava,Tenerife
Mujeres,Extranjera,Educación primaria e inferior,2022,0,El Paso,La Palma
Mujeres,Extranjera,Educación primaria e inferior,2021,0,El Paso,La Palma
Mujeres,Española,Educación primaria e inferior,2022,0,Puntagorda,La Palma
Mujeres,Española,Educación primaria e inferior,2021,0,Puntagorda,La Palma
Mujeres,Española,Educación primaria e inferior,2022,0,Puntallana,La Palma
Mujeres,Española,Educación primaria e inferior,2021,0,Puntallana,La Palma
