TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Arrecife	2019	Índice de Gini	30.2		
Arrecife	2018	Índice de Gini	30.1		
Arrecife	2017	Índice de Gini	30.6		
Arrecife	2016	Índice de Gini	32.1		
Arrecife	2015	Índice de Gini	33		
Arrecife	2023	Distribución de la renta P80/P20	2.4		
Arrecife	2022	Distribución de la renta P80/P20	2.4		
Arrecife	2021	Distribución de la renta P80/P20	2.6		
Arrecife	2020	Distribución de la renta P80/P20	2.7		
Arrecife	2019	Distribución de la renta P80/P20	2.4		
Arrecife	2018	Distribución de la renta P80/P20	2.5		
Arrecife	2017	Distribución de la renta P80/P20	2.6		
Arrecife	2016	Distribución de la renta P80/P20	2.8		
Arrecife	2015	Distribución de la renta P80/P20	2.7		
Haría	2023	Índice de Gini	29.2		
Haría	2022	Índice de Gini	30.4		
Haría	2021	Índice de Gini	30.8		
Haría	2020	Índice de Gini	31.6		
Haría	2019	Índice de Gini	30.1		
Haría	2018	Índice de Gini	31.4		
Haría	2017	Índice de Gini	32.2		
Haría	2016	Índice de Gini	33.1		
Haría	2015	Índice de Gini	33.5		
Haría	2023	Distribución de la renta P80/P20	2.5		
Haría	2022	Distribución de la renta P80/P20	2.6		
Haría	2021	Distribución de la renta P80/P20	2.8		
Haría	2020	Distribución de la renta P80/P20	2.6		
Haría	2019	Distribución de la renta P80/P20	2.7		
Haría	2018	Distribución de la renta P80/P20	2.6		
Haría	2017	Distribución de la renta P80/P20	2.7		
Haría	2016	Distribución de la renta P80/P20	2.7		
Haría	2015	Distribución de la renta P80/P20	2.7		
San Bartolomé	2023	Índice de Gini	27.8		
San Bartolomé	2022	Índice de Gini	28.9		
San Bartolomé	2021	Índice de Gini	30.7		
San Bartolomé	2020	Índice de Gini	31.1		
San Bartolomé	2019	Índice de Gini	29.3		
San Bartolomé	2018	Índice de Gini	29.9		
San Bartolomé	2017	Índice de Gini	30.5		
San Bartolomé	2016	Índice de Gini	32.6		
San Bartolomé	2015	Índice de Gini	32.6		
San Bartolomé	2023	Distribución de la renta P80/P20	2.3		
San Bartolomé	2022	Distribución de la renta P80/P20	2.4		
San Bartolomé	2021	Distribución de la renta P80/P20	2.5		
San Bartolomé	2020	Distribución de la renta P80/P20	2.6		
San Bartolomé	2019	Distribución de la renta P80/P20	2.5		
San Bartolomé	2018	Distribución de la renta P80/P20	2.6		
San Bartolomé	2017	Distribución de la renta P80/P20	2.6		
San Bartolomé	2016	Distribución de la renta P80/P20	2.7		
San Bartolomé	2015	Distribución de la renta P80/P20	2.9		
Teguise	2023	Índice de Gini	29.8		
Teguise	2022	Índice de Gini	30.1		
Teguise	2021	Índice de Gini	31		
Teguise	2020	Índice de Gini	31.9		
Teguise	2019	Índice de Gini	30.9		
Teguise	2018	Índice de Gini	31.3		
Teguise	2017	Índice de Gini	32.1		
Teguise	2016	Índice de Gini	33.1		
Teguise	2015	Índice de Gini	33.6		
Teguise	2023	Distribución de la renta P80/P20	2.4		
Teguise	2022	Distribución de la renta P80/P20	2.5		
Teguise	2021	Distribución de la renta P80/P20	2.6		
Teguise	2020	Distribución de la renta P80/P20	2.6		
Teguise	2019	Distribución de la renta P80/P20	2.7		
Teguise	2018	Distribución de la renta P80/P20	2.8		
Teguise	2017	Distribución de la renta P80/P20	2.8		
Teguise	2016	Distribución de la renta P80/P20	2.9		
Teguise	2015	Distribución de la renta P80/P20	2.9		
Tías	2023	Índice de Gini	33		
Tías	2022	Índice de Gini	34.1		
Tías	2021	Índice de Gini	35.9		
Tías	2020	Índice de Gini	35.4		
Tías	2019	Índice de Gini	34.8		
Tías	2018	Índice de Gini	34.9		
Tías	2017	Índice de Gini	35		
Tías	2016	Índice de Gini	36.8		
Tías	2015	Índice de Gini	37.5		
Tías	2023	Distribución de la renta P80/P20	2.8		
Tías	2022	Distribución de la renta P80/P20	3		
Tías	2021	Distribución de la renta P80/P20	3.2		
Tías	2020	Distribución de la renta P80/P20	3.2		
Tías	2019	Distribución de la renta P80/P20	2.8		
Tías	2018	Distribución de la renta P80/P20	3		
Tías	2017	Distribución de la renta P80/P20	3.1		
Tías	2016	Distribución de la renta P80/P20	3.4		
Tías	2015	Distribución de la renta P80/P20	3.2		
Tinajo	2023	Índice de Gini	25.5		
Tinajo	2022	Índice de Gini	26		
Tinajo	2021	Índice de Gini	27.1		
Tinajo	2020	Índice de Gini	26.7		
Tinajo	2019	Índice de Gini	26.3		
Tinajo	2018	Índice de Gini	26.9		
Tinajo	2017	Índice de Gini	27.8		
